,Open,High,Low,Close,Volume,datetime
19,575.0,575.75,574.5,575.75,29564,2026-08-26 20:30:00
19,313.55,313.58,313.0,313.2594,60435,2026-08-26 20:30:00
20,313.28,313.45,311.11,312.6,126117,2026-08-26 21:00:00
20,260.2,262.8999,259.61,262.43,385864,2026-08-26 21:00:00
20,81.5,81.61,80.9,81.08,56467,2026-08-26 21:00:00
20,342.2007,342.5,340.68,341.71,47741,2026-08-26 21:00:00
20,210.461,220.26,208.46,217.39,16738198,2026-08-26 21:00:00
20,575.7,577.6,574.8091,577.6,47610,2026-08-26 21:00:00
20,346.686,347.25,345.35,346.96,80214,2026-08-26 21:00:00
20,497.58,497.7264,494.76,496.75,47493,2026-08-26 21:00:00
20,61.66,61.68,61.57,61.57,17490,2026-08-26 21:00:00
20,280.2749,280.7,277.0,278.0,8073,2026-08-26 21:00:00
21,278.3274,278.3274,277.034,277.25,1721,2026-08-26 21:30:00
21,262.3146,262.8999,262.02,262.3961,153930,2026-08-26 21:30:00
21,61.6804,61.6804,61.68,61.68,600,2026-08-26 21:30:00
21,577.5,578.46,576.19,578.0276,40058,2026-08-26 21:30:00
21,81.0799,81.08,80.6,80.64,55611,2026-08-26 21:30:00
21,312.4577,312.5,310.9948,310.9948,68381,2026-08-26 21:30:00
21,217.45,220.8,217.0,219.06,6085646,2026-08-26 21:30:00
21,341.7033,341.97,340.96,341.2,78369,2026-08-26 21:30:00
21,346.969,348.3999,346.52,347.42,88830,2026-08-26 21:30:00
21,496.8,496.9271,495.11,495.21,25430,2026-08-26 21:30:00
22,61.58,61.61,61.58,61.6,445,2026-08-26 22:00:00
22,262.16,262.79,261.56,262.27,33547,2026-08-26 22:00:00
22,310.99,311.5,310.6099,311.5,55604,2026-08-26 22:00:00
22,219.0,219.63,217.5,217.9356,2191931,2026-08-26 22:00:00
22,347.3,347.9805,347.1,347.58,32329,2026-08-26 22:00:00
22,578.0,579.66,576.2503,579.4932,37875,2026-08-26 22:00:00
22,341.08,342.3,340.83,342.3,43284,2026-08-26 22:00:00
22,80.62,81.0867,80.6,80.99,45510,2026-08-26 22:00:00
22,495.18,497.42,494.0,497.0,15668,2026-08-26 22:00:00
22,277.2,277.845,277.2,277.845,1159,2026-08-26 22:00:00
23,217.92,218.92,217.9,218.66,1046144,2026-08-26 22:30:00
23,61.6682,61.68,61.58,61.68,3414,2026-08-26 22:30:00
